"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","19","79.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/02/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/03/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/04/2020","AQS","360010012","1","0.4","ppm","5","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/05/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/06/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/07/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","18","75.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/08/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/09/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/10/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/11/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/12/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/13/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","18","75.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/14/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/15/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/16/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/17/2020","AQS","360010012","1","0.1","ppm","1","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/18/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/19/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/20/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/21/2020","AQS","360010012","1","0.2","ppm","2","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/22/2020","AQS","360010012","1","0.4","ppm","5","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/23/2020","AQS","360010012","1","0.6","ppm","7","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/24/2020","AQS","360010012","1","0.6","ppm","7","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/25/2020","AQS","360010012","1","0.4","ppm","5","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/26/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","24","100.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/27/2020","AQS","360010012","1","0.3","ppm","3","LOUDONVILLE","12","50.0000","42101","Carbon monoxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/01/2020","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","19","79.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/02/2020","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/03/2020","AQS","360050133","1","0.6","ppm","7","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/04/2020","AQS","360050133","1","0.7","ppm","8","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/05/2020","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/06/2020","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/07/2020","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/08/2020","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/09/2020","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/10/2020","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/11/2020","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/12/2020","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
