FIPS Code,Geography,Year,Program Type,Population
36000,New York State,2019,Postcensal Population Estimate,19453561
36001,Albany County,2019,Postcensal Population Estimate,305506
36003,Allegany County,2019,Postcensal Population Estimate,46091
36005,Bronx County,2019,Postcensal Population Estimate,1418207
36007,Broome County,2019,Postcensal Population Estimate,190488
36009,Cattaraugus County,2019,Postcensal Population Estimate,76117
36011,Cayuga County,2019,Postcensal Population Estimate,76576
36013,Chautauqua County,2019,Postcensal Population Estimate,126903
36015,Chemung County,2019,Postcensal Population Estimate,83456
36017,Chenango County,2019,Postcensal Population Estimate,47207
36019,Clinton County,2019,Postcensal Population Estimate,80485
36021,Columbia County,2019,Postcensal Population Estimate,59461
36023,Cortland County,2019,Postcensal Population Estimate,47581
36025,Delaware County,2019,Postcensal Population Estimate,44135
36027,Dutchess County,2019,Postcensal Population Estimate,294218
36029,Erie County,2019,Postcensal Population Estimate,918702
36031,Essex County,2019,Postcensal Population Estimate,36885
36033,Franklin County,2019,Postcensal Population Estimate,50022
36035,Fulton County,2019,Postcensal Population Estimate,53383
36037,Genesee County,2019,Postcensal Population Estimate,57280
36039,Greene County,2019,Postcensal Population Estimate,47188
36041,Hamilton County,2019,Postcensal Population Estimate,4416
36043,Herkimer County,2019,Postcensal Population Estimate,61319
36045,Jefferson County,2019,Postcensal Population Estimate,109834
36047,Kings County,2019,Postcensal Population Estimate,2559903
36049,Lewis County,2019,Postcensal Population Estimate,26296
36051,Livingston County,2019,Postcensal Population Estimate,62914
36053,Madison County,2019,Postcensal Population Estimate,70941
36055,Monroe County,2019,Postcensal Population Estimate,741770
36057,Montgomery County,2019,Postcensal Population Estimate,49221
36059,Nassau County,2019,Postcensal Population Estimate,1356924
36061,New York County,2019,Postcensal Population Estimate,1628706
36063,Niagara County,2019,Postcensal Population Estimate,209281
36065,Oneida County,2019,Postcensal Population Estimate,228671
36067,Onondaga County,2019,Postcensal Population Estimate,460528
36069,Ontario County,2019,Postcensal Population Estimate,109777
36071,Orange County,2019,Postcensal Population Estimate,384940
36073,Orleans County,2019,Postcensal Population Estimate,40352
36075,Oswego County,2019,Postcensal Population Estimate,117124
36077,Otsego County,2019,Postcensal Population Estimate,59493
36079,Putnam County,2019,Postcensal Population Estimate,98320
36081,Queens County,2019,Postcensal Population Estimate,2253858
36083,Rensselaer County,2019,Postcensal Population Estimate,158714
36085,Richmond County,2019,Postcensal Population Estimate,476143
36087,Rockland County,2019,Postcensal Population Estimate,325789
36089,St. Lawrence County,2019,Postcensal Population Estimate,107740
36091,Saratoga County,2019,Postcensal Population Estimate,229863
36093,Schenectady County,2019,Postcensal Population Estimate,155299
36095,Schoharie County,2019,Postcensal Population Estimate,30999
36097,Schuyler County,2019,Postcensal Population Estimate,17807
36099,Seneca County,2019,Postcensal Population Estimate,34016
36101,Steuben County,2019,Postcensal Population Estimate,95379
36103,Suffolk County,2019,Postcensal Population Estimate,1476601
36105,Sullivan County,2019,Postcensal Population Estimate,75432
36107,Tioga County,2019,Postcensal Population Estimate,48203
36109,Tompkins County,2019,Postcensal Population Estimate,102180
36111,Ulster County,2019,Postcensal Population Estimate,177573
36113,Warren County,2019,Postcensal Population Estimate,63944
36115,Washington County,2019,Postcensal Population Estimate,61204
36117,Wayne County,2019,Postcensal Population Estimate,89918
36119,Westchester County,2019,Postcensal Population Estimate,967506
36121,Wyoming County,2019,Postcensal Population Estimate,39859
36123,Yates County,2019,Postcensal Population Estimate,24913
