,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
0,03/01/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/01/2020,Bronx,0,0,0,0
1,03/02/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/02/2020,Bronx,0,0,0,0
2,03/03/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/03/2020,Bronx,0,0,1,1
3,03/04/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/04/2020,Bronx,0,0,0,1
4,03/05/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/05/2020,Bronx,0,0,5,6
5,03/06/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/06/2020,Bronx,0,0,6,12
6,03/07/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/07/2020,Bronx,0,0,17,29
7,03/08/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/08/2020,Bronx,1,1,16,45
8,03/09/2020,0.5,6,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/09/2020,Bronx,4,5,31,76
9,03/10/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/10/2020,Bronx,0,5,47,123
10,03/11/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/11/2020,Bronx,2,7,31,154
11,03/12/2020,0.5,6,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/12/2020,Bronx,3,10,36,190
12,03/13/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/13/2020,Bronx,10,20,99,289
13,03/14/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/14/2020,Bronx,8,28,80,369
14,03/15/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/15/2020,Bronx,29,57,116,485
15,03/16/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/16/2020,Bronx,29,86,151,636
16,03/17/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/17/2020,Bronx,123,209,433,1069
17,03/18/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/18/2020,Bronx,154,363,597,1666
18,03/19/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/19/2020,Bronx,191,554,605,2271
19,03/20/2020,0.5,6,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/20/2020,Bronx,297,851,884,3155
20,03/21/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/21/2020,Bronx,367,1218,1044,4199
21,03/22/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/22/2020,Bronx,606,1824,1276,5475
22,03/23/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/23/2020,Bronx,455,2279,970,6445
23,03/24/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/24/2020,Bronx,611,2890,1188,7633
24,03/25/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/25/2020,Bronx,838,3728,1770,9403
25,03/26/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/26/2020,Bronx,829,4557,1428,10831
26,03/27/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/27/2020,Bronx,846,5403,1478,12309
27,03/28/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/28/2020,Bronx,901,6304,1529,13838
28,03/29/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/29/2020,Bronx,658,6962,1160,14998
29,03/30/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/30/2020,Bronx,804,7766,1341,16339
30,03/31/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/31/2020,Bronx,1095,8861,1818,18157
31,04/01/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/01/2020,Bronx,1066,9927,1754,19911
32,04/02/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/02/2020,Bronx,1159,11086,1946,21857
33,04/03/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,04/03/2020,Bronx,1229,12315,2108,23965
