,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
0,03/01/2020,44.4,42,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/01/2020,Bronx,0,0,0,0
1,03/01/2020,42.2,40,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/01/2020,Bronx,0,0,0,0
2,03/02/2020,49.0,46,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/02/2020,Bronx,0,0,0,0
3,03/02/2020,51.0,48,PFIZER LAB SITE,20,83.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/02/2020,Bronx,0,0,0,0
4,03/03/2020,37.0,35,IS 52,21,88.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/03/2020,Bronx,0,0,1,1
5,03/03/2020,35.2,33,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/03/2020,Bronx,0,0,1,1
6,03/04/2020,22.4,21,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/04/2020,Bronx,0,0,0,1
7,03/04/2020,19.2,18,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/04/2020,Bronx,0,0,0,1
8,03/05/2020,28.7,26,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/05/2020,Bronx,0,0,5,6
9,03/05/2020,24.2,23,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/05/2020,Bronx,0,0,5,6
10,03/06/2020,41.3,39,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/06/2020,Bronx,0,0,6,12
11,03/06/2020,35.2,33,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/06/2020,Bronx,0,0,6,12
12,03/07/2020,16.9,15,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/07/2020,Bronx,0,0,17,29
13,03/07/2020,18.9,17,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/07/2020,Bronx,0,0,17,29
14,03/08/2020,24.9,23,IS 52,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/08/2020,Bronx,1,1,16,45
15,03/08/2020,24.4,23,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,03/08/2020,Bronx,1,1,16,45
16,03/09/2020,43.6,41,IS 52,20,83.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.816,-73.902,03/09/2020,Bronx,4,5,31,76
