,Date,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
0,03/01/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/01/2020,Albany,0,0,0,0
1,03/02/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/02/2020,Albany,0,0,0,0
2,03/03/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/03/2020,Albany,0,0,0,0
3,03/04/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/04/2020,Albany,0,0,0,0
4,03/05/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/05/2020,Albany,0,0,3,3
5,03/06/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/06/2020,Albany,0,0,0,3
6,03/07/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/07/2020,Albany,0,0,5,8
7,03/08/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/08/2020,Albany,0,0,2,10
8,03/09/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/09/2020,Albany,0,0,3,13
9,03/10/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/10/2020,Albany,0,0,2,15
10,03/11/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/11/2020,Albany,0,0,13,28
11,03/12/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/12/2020,Albany,1,1,11,39
12,03/13/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/13/2020,Albany,2,3,26,65
13,03/14/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/14/2020,Albany,3,6,108,173
14,03/15/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/15/2020,Albany,6,12,108,281
15,03/16/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/16/2020,Albany,11,23,140,421
16,03/17/2020,0.033,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/17/2020,Albany,13,36,267,688
17,03/18/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/18/2020,Albany,7,43,331,1019
18,03/19/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/19/2020,Albany,18,61,450,1469
19,03/20/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/20/2020,Albany,27,88,499,1968
20,03/21/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/21/2020,Albany,35,123,577,2545
21,03/22/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/22/2020,Albany,4,127,197,2742
22,03/23/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/23/2020,Albany,19,146,144,2886
23,03/24/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/24/2020,Albany,6,152,198,3084
24,03/25/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/25/2020,Albany,19,171,93,3177
25,03/26/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/26/2020,Albany,16,187,112,3289
26,03/27/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/27/2020,Albany,8,195,101,3390
27,03/28/2020,0.03,28,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/28/2020,Albany,10,205,73,3463
28,03/29/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/29/2020,Albany,12,217,61,3524
29,03/30/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/30/2020,Albany,9,226,72,3596
30,03/31/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,03/31/2020,Albany,14,240,108,3704
31,04/01/2020,0.045,42,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/01/2020,Albany,13,253,106,3810
32,04/02/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/02/2020,Albany,14,267,105,3915
33,04/03/2020,0.034,31,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/03/2020,Albany,26,293,123,4038
34,04/04/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/04/2020,Albany,12,305,117,4155
35,04/05/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/05/2020,Albany,14,319,89,4244
36,04/06/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/06/2020,Albany,14,333,86,4330
37,04/07/2020,0.05,46,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/07/2020,Albany,9,342,74,4404
38,04/08/2020,0.043,40,LOUDONVILLE,18,75.0,Albany,42.68075,-73.75733000000001,04/08/2020,Albany,37,379,229,4633
39,04/09/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/09/2020,Albany,47,426,332,4965
40,04/10/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/10/2020,Albany,20,446,159,5124
41,04/11/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/11/2020,Albany,32,478,223,5347
42,04/12/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/12/2020,Albany,21,499,193,5540
43,04/13/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/13/2020,Albany,36,535,216,5756
44,04/14/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/14/2020,Albany,13,548,106,5862
45,04/15/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/15/2020,Albany,33,581,301,6163
46,04/16/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/16/2020,Albany,38,619,273,6436
47,04/17/2020,0.045,42,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/17/2020,Albany,29,648,291,6727
48,04/18/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/18/2020,Albany,34,682,305,7032
49,04/19/2020,0.05,46,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/19/2020,Albany,5,687,103,7135
50,04/20/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/20/2020,Albany,17,704,164,7299
51,04/21/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/21/2020,Albany,33,737,236,7535
52,04/22/2020,0.046,43,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/22/2020,Albany,21,758,178,7713
53,04/23/2020,0.046,43,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/23/2020,Albany,47,805,319,8032
54,04/24/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/24/2020,Albany,94,899,626,8658
55,04/25/2020,0.051,47,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/25/2020,Albany,49,948,402,9060
56,04/26/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/26/2020,Albany,31,979,263,9323
57,04/27/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/27/2020,Albany,30,1009,197,9520
58,04/28/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/28/2020,Albany,58,1067,351,9871
59,04/29/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/29/2020,Albany,98,1165,439,10310
60,04/30/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/30/2020,Albany,39,1204,378,10688
