,Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
0,03/01/2020,3.8,16,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/01/2020,Albany,0,0,0,0
1,03/01/2020,5.6,23,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/01/2020,Albany,0,0,0,0
2,03/01/2020,3.5,15,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,03/01/2020,Albany,0,0,0,0
3,03/04/2020,4.0,17,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/04/2020,Albany,0,0,0,0
4,03/04/2020,4.0,17,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/04/2020,Albany,0,0,0,0
5,03/04/2020,7.4,31,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/04/2020,Albany,0,0,0,0
6,03/04/2020,3.7,15,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,03/04/2020,Albany,0,0,0,0
7,03/07/2020,2.2,9,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/07/2020,Albany,0,0,5,8
8,03/07/2020,3.7,15,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/07/2020,Albany,0,0,5,8
9,03/07/2020,2.7,11,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,03/07/2020,Albany,0,0,5,8
10,03/10/2020,6.3,26,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/10/2020,Albany,0,0,2,15
11,03/10/2020,6.8,28,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/10/2020,Albany,0,0,2,15
12,03/10/2020,8.2,34,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/10/2020,Albany,0,0,2,15
13,03/10/2020,5.9,25,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,03/10/2020,Albany,0,0,2,15
14,03/13/2020,2.2,9,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/13/2020,Albany,2,3,26,65
15,03/13/2020,4.2,18,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,03/13/2020,Albany,2,3,26,65
16,03/13/2020,2.4,10,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,03/13/2020,Albany,2,3,26,65
17,06/20/2020,6.8,28,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/20/2020,Albany,1,2054,784,41841
18,06/20/2020,8.0,33,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/20/2020,Albany,1,2054,784,41841
19,06/20/2020,10.2,43,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/20/2020,Albany,1,2054,784,41841
20,06/20/2020,6.5,27,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,06/20/2020,Albany,1,2054,784,41841
21,06/23/2020,9.8,41,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/23/2020,Albany,3,2065,586,43785
22,06/23/2020,12.2,51,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/23/2020,Albany,3,2065,586,43785
23,06/23/2020,9.4,39,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,06/23/2020,Albany,3,2065,586,43785
24,06/26/2020,5.7,24,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/26/2020,Albany,7,2091,799,46539
25,06/26/2020,6.1,25,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/26/2020,Albany,7,2091,799,46539
26,06/26/2020,8.3,35,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/26/2020,Albany,7,2091,799,46539
27,06/26/2020,5.0,21,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,06/26/2020,Albany,7,2091,799,46539
28,06/29/2020,5.6,23,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/29/2020,Albany,3,2102,543,48358
29,06/29/2020,8.7,36,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,06/29/2020,Albany,3,2102,543,48358
30,06/29/2020,5.5,23,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,06/29/2020,Albany,3,2102,543,48358
31,07/02/2020,6.3,26,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/02/2020,Albany,5,2130,805,50822
32,07/02/2020,6.8,28,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/02/2020,Albany,5,2130,805,50822
33,07/02/2020,9.6,40,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/02/2020,Albany,5,2130,805,50822
34,07/02/2020,7.4,31,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/02/2020,Albany,5,2130,805,50822
35,07/05/2020,16.6,60,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/05/2020,Albany,8,2160,626,53516
36,07/05/2020,20.1,68,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/05/2020,Albany,8,2160,626,53516
37,07/05/2020,10.8,45,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/05/2020,Albany,8,2160,626,53516
38,07/08/2020,8.6,36,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/08/2020,Albany,8,2183,1260,56217
39,07/08/2020,10.3,43,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/08/2020,Albany,8,2183,1260,56217
40,07/08/2020,11.3,47,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/08/2020,Albany,8,2183,1260,56217
41,07/08/2020,8.7,36,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/08/2020,Albany,8,2183,1260,56217
42,07/11/2020,3.9,16,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/11/2020,Albany,11,2219,815,58909
43,07/11/2020,4.7,20,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/11/2020,Albany,11,2219,815,58909
44,07/11/2020,4.0,17,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/11/2020,Albany,11,2219,815,58909
45,07/14/2020,4.5,19,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/14/2020,Albany,33,2280,860,61502
46,07/14/2020,6.7,28,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/14/2020,Albany,33,2280,860,61502
47,07/14/2020,4.0,17,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/14/2020,Albany,33,2280,860,61502
48,07/17/2020,4.8,20,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/17/2020,Albany,5,2315,816,64481
49,07/17/2020,6.5,27,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/17/2020,Albany,5,2315,816,64481
50,07/17/2020,4.2,18,LOUDONVILLE,1,100.0,Albany,42.68075,-73.75733000000001,07/17/2020,Albany,5,2315,816,64481
51,07/20/2020,6.9,29,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/20/2020,Albany,29,2351,1354,67047
52,07/20/2020,6.3,26,ALBANY COUNTY HEALTH DEPT,1,100.0,Albany,42.64225,-73.75464000000001,07/20/2020,Albany,29,2351,1354,67047
